Language,String,Translation
en,Dashboard,Dashboard
fr,Dashboard,Tableau de bord
es,Dashboard,Tablero
de,Dashboard,Dashboard
it,Dashboard,Dashboard
en,Card,Card
fr,Card,Carte
es,Card,Tarjeta
de,Card,Karte
it,Card,Carta
en,Collection,Collection
fr,Collection,Collection
es,Collection,Colección
de,Collection,Sammlung
it,Collection,Collezione
en,Database,Database
fr,Database,Base de données
es,Database,Base de datos
de,Database,Datenbank
it,Database,Database
en,Table,Table
fr,Table,Table
es,Table,Tabla
de,Table,Tabelle
it,Table,Tabella
en,Field,Field
fr,Field,Champ
es,Field,Campo
de,Field,Feld
it,Field,Campo
en,Question,Question
fr,Question,Question
es,Question,Pregunta
de,Question,Frage
it,Question,Domanda
en,Save,Save
fr,Save,Enregistrer
es,Save,Guardar
de,Save,Speichern
it,Save,Salva
en,Cancel,Cancel
fr,Cancel,Annuler
es,Cancel,Cancelar
de,Cancel,Abbrechen
it,Cancel,Annulla
en,Delete,Delete
fr,Delete,Supprimer
es,Delete,Eliminar
de,Delete,Löschen
it,Delete,Elimina
en,Edit,Edit
fr,Edit,Modifier
es,Edit,Editar
de,Edit,Bearbeiten
it,Edit,Modifica
en,View,View
fr,View,Voir
es,View,Ver
de,View,Anzeigen
it,View,Visualizza
